Reference	s37rep1	s37rep2	s37rep3	s32rep2	s32rep1	s32rep3
ENST00000630971.2	44.0	42.0	36.0	46.0	53.0	41.0
ENST00000676687.1	44.0	41.0	31.0	39.0	45.0	34.0
ENST00000473638.5	44.0	76.0	71.0	71.0	52.0	54.0
ENST00000677403.1	44.0	32.0	19.0	29.0	30.0	16.0
ENST00000223324.3	44.0	39.0	33.0	31.0	38.0	21.0
ENST00000353555.9	44.0	29.0	30.0	30.0	43.0	11.0
ENST00000627617.1	44.0	42.0	35.0	46.0	50.0	40.0
ENST00000569301.2	44.0	40.0	31.0	40.0	42.0	41.0
ENST00000409409.5	44.0	41.0	17.0	45.0	47.0	31.0
ENST00000502897.5	44.0	38.0	23.0	40.0	47.0	34.0
ENST00000574872.1	44.0	40.0	26.0	38.0	45.0	39.0
ENST00000329092.12	44.0	47.0	54.0	52.0	52.0	51.0
ENST00000591216.2	44.0	35.0	30.0	36.0	50.0	30.0
ENST00000676504.1	44.0	38.0	26.0	40.0	45.0	29.0
ENST00000396682.6	44.0	45.0	45.0	48.0	49.0	59.0
ENST00000295702.9	44.0	47.0	49.0	46.0	47.0	45.0
ENST00000700293.1	44.0	34.0	31.0	35.0	48.0	30.0
ENST00000395044.7	44.0	35.0	21.0	39.0	41.0	19.0
ENST00000400093.3	44.0	45.0	36.0	48.0	49.0	36.0
ENST00000395240.7	44.0	41.0	30.0	39.0	38.0	27.0
ENST00000593087.1	44.0	49.0	20.0	43.0	36.0	29.0
ENST00000391763.3	44.0	44.0	32.0	48.0	39.0	37.0
ENST00000374017.3	44.0	43.0	34.0	50.0	50.0	40.0
ENST00000397764.8	44.0	41.0	30.0	45.0	44.0	40.0
ENST00000569696.5	44.0	27.0	35.0	27.0	38.0	41.0
ENST00000612410.1	44.0	21.0	13.0	10.0	25.0	3.0
ENST00000368325.5	44.0	44.0	26.0	47.0	44.0	39.0
ENST00000544381.4	43.0	39.0	30.0	36.0	39.0	30.0
ENST00000368589.5	43.0	32.0	28.0	36.0	40.0	13.0
ENST00000617763.1	43.0	39.0	33.0	45.0	48.0	40.0
ENST00000698396.1	43.0	44.0	21.0	94.0	112.0	69.0
ENST00000338401.8	43.0	35.0	17.0	32.0	34.0	13.0
ENST00000309311.7	43.0	35.0	49.0	34.0	43.0	18.0
ENST00000374450.8	43.0	39.0	39.0	46.0	49.0	38.0
ENST00000394975.3	43.0	36.0	31.0	39.0	50.0	22.0
ENST00000271843.9	43.0	31.0	28.0	35.0	40.0	13.0
ENST00000574576.2	43.0	30.0	16.0	40.0	46.0	12.0
ENST00000515792.5	43.0	69.0	54.0	67.0	41.0	50.0
ENST00000360961.11	43.0	42.0	28.0	40.0	43.0	28.0
ENST00000709904.1	43.0	68.0	54.0	68.0	42.0	50.0
ENST00000643776.1	43.0	43.0	42.0	37.0	39.0	34.0
ENST00000677950.1	43.0	44.0	42.0	41.0	41.0	44.0
ENST00000528296.5	43.0	56.0	38.0	48.0	44.0	38.0
ENST00000418824.3	43.0	58.0	54.0	53.0	38.0	51.0
ENST00000568583.5	43.0	44.0	29.0	44.0	49.0	38.0
ENST00000618420.1	43.0	44.0	33.0	47.0	37.0	36.0
ENST00000394225.6	42.0	42.0	41.0	46.0	43.0	40.0
ENST00000245539.11	42.0	35.0	21.0	41.0	46.0	25.0
ENST00000351500.7	42.0	42.0	31.0	39.0	49.0	35.0
ENST00000313117.11	42.0	30.0	22.0	35.0	47.0	25.0
ENST00000485827.1	42.0	42.0	35.0	47.0	41.0	36.0
ENST00000611428.5	42.0	36.0	34.0	39.0	46.0	25.0
ENST00000473459.5	42.0	41.0	25.0	42.0	40.0	31.0
ENST00000614830.5	42.0	38.0	18.0	40.0	51.0	14.0
ENST00000280326.9	42.0	37.0	25.0	34.0	39.0	24.0
ENST00000572179.5	42.0	41.0	34.0	46.0	43.0	36.0
ENST00000445560.6	42.0	40.0	25.0	42.0	45.0	30.0
ENST00000223084.7	42.0	41.0	32.0	42.0	46.0	39.0
ENST00000302386.10	42.0	41.0	44.0	39.0	43.0	43.0
ENST00000370562.1	42.0	55.0	56.0	52.0	41.0	52.0
ENST00000612848.1	42.0	8.0	12.0	18.0	21.0	1.0
ENST00000300035.9	42.0	42.0	41.0	42.0	38.0	42.0
ENST00000290079.9	42.0	41.0	41.0	41.0	38.0	30.0
ENST00000022615.9	42.0	36.0	22.0	34.0	39.0	20.0
ENST00000549970.5	42.0	40.0	39.0	41.0	41.0	39.0
ENST00000336520.8	42.0	28.0	27.0	32.0	49.0	14.0
ENST00000564974.1	42.0	40.0	17.0	48.0	53.0	29.0
ENST00000399728.5	42.0	39.0	35.0	39.0	39.0	37.0
ENST00000427469.5	42.0	38.0	38.0	45.0	42.0	35.0
ENST00000619734.4	42.0	23.0	14.0	10.0	26.0	5.0
ENST00000711165.1	42.0	36.0	34.0	40.0	46.0	25.0
ENST00000260953.10	42.0	34.0	40.0	41.0	48.0	39.0
ENST00000398153.7	41.0	37.0	31.0	40.0	45.0	32.0
ENST00000472966.1	41.0	57.0	39.0	55.0	35.0	43.0
ENST00000698740.1	41.0	36.0	17.0	36.0	42.0	17.0
ENST00000547897.5	41.0	37.0	42.0	34.0	40.0	35.0
ENST00000411290.2	41.0	12.0	9.0	3.0	14.0	2.0
ENST00000393964.1	41.0	38.0	27.0	46.0	48.0	38.0
ENST00000215587.11	41.0	22.0	16.0	19.0	49.0	3.0
ENST00000708930.1	41.0	40.0	31.0	39.0	49.0	35.0
ENST00000298556.8	41.0	38.0	28.0	41.0	44.0	30.0
ENST00000410176.1	41.0	12.0	9.0	3.0	14.0	2.0
ENST00000612413.4	41.0	41.0	44.0	43.0	44.0	46.0
ENST00000483970.7	41.0	41.0	55.0	34.0	36.0	43.0
ENST00000381192.10	41.0	36.0	32.0	39.0	46.0	26.0
ENST00000373626.4	41.0	40.0	48.0	43.0	44.0	38.0
ENST00000480759.1	41.0	41.0	40.0	38.0	44.0	43.0
ENST00000597493.7	41.0	38.0	62.0	40.0	49.0	32.0
ENST00000419711.6	41.0	26.0	15.0	32.0	52.0	21.0
ENST00000702900.1	41.0	37.0	61.0	39.0	48.0	30.0
ENST00000284811.12	41.0	35.0	21.0	41.0	46.0	27.0
ENST00000621630.1	40.0	39.0	26.0	37.0	40.0	26.0
ENST00000336133.8	40.0	44.0	37.0	39.0	40.0	40.0
ENST00000301686.13	40.0	32.0	30.0	35.0	42.0	16.0
ENST00000645375.1	40.0	39.0	39.0	35.0	36.0	32.0
ENST00000463841.1	40.0	42.0	12.0	38.0	38.0	18.0
ENST00000267935.13	40.0	36.0	31.0	38.0	42.0	23.0
ENST00000442738.7	40.0	34.0	22.0	34.0	41.0	20.0
ENST00000476217.5	40.0	38.0	36.0	29.0	31.0	28.0
ENST00000678702.1	40.0	46.0	45.0	41.0	34.0	37.0
ENST00000605916.1	40.0	36.0	31.0	42.0	45.0	36.0
ENST00000253794.7	40.0	35.0	29.0	40.0	44.0	32.0
ENST00000677676.1	40.0	37.0	27.0	36.0	35.0	30.0
ENST00000438127.1	40.0	46.0	36.0	31.0	27.0	33.0
ENST00000374561.6	40.0	41.0	32.0	35.0	48.0	19.0
ENST00000677072.1	40.0	30.0	33.0	40.0	35.0	39.0
ENST00000711160.1	40.0	36.0	32.0	39.0	46.0	26.0
ENST00000396386.7	40.0	32.0	20.0	36.0	37.0	23.0
ENST00000348547.7	40.0	39.0	39.0	37.0	37.0	34.0
ENST00000476493.6	40.0	42.0	27.0	45.0	42.0	35.0
ENST00000343677.4	40.0	49.0	51.0	35.0	35.0	43.0
ENST00000673304.1	40.0	28.0	29.0	28.0	42.0	25.0
ENST00000413456.6	40.0	43.0	24.0	45.0	36.0	29.0
ENST00000586638.5	40.0	38.0	35.0	40.0	44.0	37.0
ENST00000449323.5	40.0	36.0	44.0	46.0	43.0	42.0
ENST00000476288.5	40.0	50.0	48.0	49.0	39.0	41.0
ENST00000589960.5	40.0	45.0	20.0	44.0	30.0	23.0
ENST00000216281.13	40.0	28.0	11.0	26.0	25.0	12.0
ENST00000634790.2	40.0	41.0	32.0	35.0	48.0	19.0
ENST00000689460.1	40.0	41.0	31.0	38.0	39.0	38.0
ENST00000487832.6	40.0	37.0	30.0	35.0	36.0	26.0
ENST00000504170.2	40.0	40.0	30.0	85.0	88.0	87.0
ENST00000561554.5	40.0	23.0	28.0	21.0	32.0	36.0
ENST00000520028.2	40.0	39.0	29.0	41.0	43.0	36.0
ENST00000466674.5	40.0	39.0	32.0	46.0	45.0	39.0
ENST00000282050.6	39.0	36.0	26.0	34.0	34.0	27.0
ENST00000570985.1	39.0	27.0	16.0	37.0	43.0	12.0
ENST00000331835.10	39.0	36.0	31.0	38.0	40.0	36.0
ENST00000376327.6	39.0	40.0	39.0	36.0	42.0	35.0
ENST00000610887.2	39.0	37.0	31.0	42.0	46.0	36.0
ENST00000590156.5	39.0	36.0	26.0	34.0	34.0	27.0
ENST00000369722.8	39.0	37.0	31.0	36.0	38.0	34.0
ENST00000525158.1	39.0	39.0	24.0	54.0	56.0	36.0
ENST00000341423.10	39.0	34.0	17.0	35.0	37.0	24.0
ENST00000588750.5	39.0	39.0	36.0	39.0	41.0	38.0
ENST00000605927.3	39.0	37.0	31.0	42.0	45.0	36.0
ENST00000672250.1	39.0	26.0	16.0	32.0	51.0	22.0
ENST00000470276.5	39.0	52.0	45.0	49.0	39.0	41.0
ENST00000263774.9	39.0	35.0	26.0	34.0	37.0	20.0
ENST00000357394.8	39.0	38.0	38.0	36.0	36.0	33.0
ENST00000464750.5	39.0	22.0	19.0	29.0	48.0	11.0
ENST00000573542.5	39.0	28.0	29.0	29.0	41.0	26.0
ENST00000494232.5	39.0	52.0	47.0	50.0	38.0	40.0
ENST00000588635.1	39.0	42.0	63.0	26.0	23.0	43.0
ENST00000675491.1	39.0	38.0	34.0	38.0	40.0	35.0
ENST00000534355.6	39.0	34.0	31.0	34.0	48.0	12.0
ENST00000674920.3	39.0	53.0	79.0	45.0	45.0	79.0
ENST00000306185.8	39.0	36.0	27.0	38.0	39.0	31.0
ENST00000295491.9	39.0	35.0	32.0	41.0	49.0	39.0
ENST00000366816.5	39.0	34.0	26.0	30.0	38.0	30.0
ENST00000392246.7	39.0	40.0	31.0	38.0	37.0	33.0
ENST00000580018.4	39.0	37.0	21.0	41.0	46.0	24.0
ENST00000369014.10	39.0	36.0	33.0	40.0	45.0	32.0
ENST00000379143.10	38.0	30.0	22.0	37.0	36.0	26.0
ENST00000692421.1	38.0	35.0	58.0	37.0	45.0	29.0
ENST00000360579.11	38.0	37.0	37.0	37.0	36.0	37.0
ENST00000268220.12	38.0	38.0	36.0	34.0	35.0	34.0
ENST00000506908.2	38.0	37.0	34.0	37.0	39.0	35.0
ENST00000374293.5	38.0	34.0	26.0	38.0	41.0	33.0
ENST00000577425.5	38.0	40.0	36.0	38.0	36.0	38.0
ENST00000532202.1	38.0	62.0	42.0	59.0	38.0	38.0
ENST00000309366.9	38.0	31.0	26.0	28.0	38.0	17.0
ENST00000382564.8	38.0	34.0	34.0	35.0	38.0	30.0
ENST00000586439.1	38.0	29.0	30.0	33.0	34.0	24.0
ENST00000356493.10	38.0	28.0	28.0	33.0	39.0	22.0
ENST00000511348.1	38.0	37.0	26.0	39.0	38.0	31.0
ENST00000462917.1	38.0	43.0	76.0	37.0	39.0	54.0
ENST00000672765.1	38.0	26.0	14.0	31.0	49.0	21.0
ENST00000601048.6	38.0	32.0	31.0	33.0	37.0	29.0
ENST00000409753.8	38.0	32.0	17.0	33.0	39.0	15.0
ENST00000450904.6	38.0	38.0	34.0	49.0	53.0	42.0
ENST00000422453.7	38.0	34.0	27.0	43.0	50.0	34.0
ENST00000188376.9	38.0	32.0	29.0	31.0	36.0	19.0
ENST00000678407.1	38.0	36.0	29.0	38.0	40.0	35.0
ENST00000393038.3	38.0	34.0	17.0	32.0	33.0	14.0
ENST00000559273.1	38.0	52.0	63.0	64.0	49.0	51.0
ENST00000337554.8	38.0	23.0	28.0	21.0	44.0	4.0
ENST00000312726.9	38.0	22.0	22.0	31.0	35.0	10.0
ENST00000484321.5	38.0	51.0	46.0	51.0	39.0	41.0
ENST00000260956.9	38.0	34.0	18.0	33.0	35.0	21.0
ENST00000531908.5	38.0	46.0	41.0	50.0	37.0	40.0
ENST00000219169.9	38.0	35.0	29.0	35.0	36.0	34.0
ENST00000535923.6	38.0	25.0	26.0	27.0	30.0	17.0
ENST00000418625.5	38.0	32.0	27.0	32.0	40.0	26.0
ENST00000372550.6	38.0	37.0	29.0	36.0	41.0	31.0
ENST00000480842.1	38.0	34.0	20.0	28.0	29.0	16.0
ENST00000222284.10	38.0	34.0	27.0	36.0	43.0	21.0
ENST00000582520.1	38.0	41.0	26.0	51.0	54.0	31.0
ENST00000561775.5	37.0	46.0	40.0	45.0	44.0	43.0
ENST00000643226.2	37.0	33.0	37.0	34.0	37.0	33.0
ENST00000261811.6	37.0	33.0	36.0	35.0	37.0	36.0
ENST00000464889.7	37.0	32.0	26.0	29.0	34.0	25.0
ENST00000507614.1	37.0	36.0	26.0	45.0	45.0	35.0
ENST00000633053.1	37.0	26.0	24.0	28.0	38.0	18.0
ENST00000678038.1	37.0	36.0	28.0	35.0	40.0	31.0
ENST00000633919.1	37.0	52.0	62.0	64.0	49.0	50.0
ENST00000573614.5	37.0	26.0	24.0	28.0	38.0	17.0
ENST00000367677.3	37.0	37.0	28.0	33.0	31.0	28.0
ENST00000370322.5	37.0	45.0	28.0	49.0	38.0	43.0
ENST00000476222.5	37.0	53.0	47.0	49.0	41.0	40.0
ENST00000630827.1	37.0	32.0	17.0	55.0	62.0	37.0
ENST00000336452.11	37.0	25.0	15.0	30.0	50.0	21.0
ENST00000521534.1	37.0	52.0	45.0	51.0	38.0	41.0
ENST00000600880.5	37.0	39.0	46.0	40.0	42.0	34.0
ENST00000521476.5	37.0	33.0	30.0	39.0	38.0	34.0
ENST00000414262.6	37.0	41.0	28.0	42.0	42.0	37.0
ENST00000489277.5	37.0	32.0	21.0	31.0	35.0	24.0
ENST00000629468.2	37.0	35.0	33.0	38.0	39.0	32.0
ENST00000248378.6	37.0	34.0	30.0	45.0	49.0	16.0
ENST00000309328.8	37.0	29.0	26.0	36.0	48.0	14.0
ENST00000468019.5	37.0	36.0	33.0	38.0	39.0	31.0
ENST00000522940.5	37.0	42.0	38.0	40.0	36.0	47.0
ENST00000453943.6	37.0	21.0	21.0	30.0	35.0	7.0
ENST00000535126.1	37.0	34.0	17.0	31.0	36.0	19.0
ENST00000503453.5	37.0	35.0	34.0	38.0	37.0	36.0
ENST00000641834.2	37.0	34.0	56.0	36.0	45.0	28.0
ENST00000229563.6	37.0	33.0	37.0	34.0	37.0	33.0
ENST00000582485.5	37.0	38.0	41.0	35.0	32.0	37.0
ENST00000506974.5	36.0	39.0	38.0	39.0	38.0	43.0
ENST00000436427.1	36.0	42.0	25.0	37.0	38.0	34.0
ENST00000373715.11	36.0	31.0	14.0	32.0	33.0	16.0
ENST00000377595.8	36.0	29.0	28.0	36.0	43.0	30.0
ENST00000433454.3	36.0	33.0	21.0	27.0	29.0	26.0
ENST00000221233.9	36.0	30.0	28.0	31.0	35.0	26.0
ENST00000482370.2	36.0	39.0	37.0	38.0	38.0	39.0
ENST00000611921.4	36.0	27.0	26.0	26.0	43.0	12.0
ENST00000488892.5	36.0	28.0	24.0	29.0	38.0	25.0
ENST00000440930.6	36.0	36.0	30.0	35.0	36.0	31.0
ENST00000628881.2	36.0	36.0	26.0	35.0	42.0	31.0
ENST00000619229.4	36.0	26.0	26.0	28.0	43.0	12.0
ENST00000368096.5	36.0	35.0	31.0	38.0	40.0	36.0
ENST00000708926.1	36.0	37.0	26.0	35.0	43.0	32.0
ENST00000391751.7	36.0	28.0	29.0	31.0	42.0	15.0
ENST00000418849.2	36.0	30.0	43.0	29.0	31.0	28.0
ENST00000391851.8	36.0	18.0	14.0	19.0	52.0	5.0
ENST00000464240.1	36.0	32.0	21.0	34.0	40.0	23.0
ENST00000326739.9	36.0	34.0	35.0	29.0	28.0	26.0
ENST00000367975.7	36.0	33.0	21.0	32.0	32.0	25.0
ENST00000300851.10	36.0	30.0	24.0	32.0	42.0	16.0
ENST00000378853.3	36.0	21.0	17.0	25.0	40.0	8.0
ENST00000630201.4	36.0	34.0	29.0	38.0	41.0	33.0
ENST00000476781.6	36.0	33.0	24.0	39.0	40.0	30.0
ENST00000396290.2	36.0	38.0	34.0	33.0	35.0	34.0
ENST00000315717.10	36.0	29.0	24.0	29.0	33.0	21.0
ENST00000230056.8	36.0	33.0	21.0	27.0	31.0	20.0
ENST00000566491.1	36.0	22.0	26.0	20.0	31.0	36.0
ENST00000509877.5	36.0	45.0	40.0	44.0	32.0	38.0
ENST00000580755.1	36.0	56.0	45.0	54.0	37.0	47.0
ENST00000621421.4	35.0	34.0	29.0	33.0	38.0	34.0
ENST00000697721.1	35.0	35.0	21.0	39.0	38.0	32.0
ENST00000465017.5	35.0	33.0	35.0	34.0	31.0	25.0
ENST00000399292.8	35.0	33.0	30.0	24.0	26.0	20.0
ENST00000356247.4	35.0	34.0	25.0	37.0	33.0	28.0
ENST00000335515.10	35.0	34.0	19.0	42.0	43.0	30.0
ENST00000570330.5	35.0	31.0	21.0	45.0	50.0	39.0
ENST00000320676.11	35.0	29.0	34.0	31.0	37.0	26.0
ENST00000435267.6	35.0	39.0	26.0	34.0	33.0	26.0
ENST00000371419.7	35.0	31.0	31.0	34.0	34.0	36.0
ENST00000524819.5	35.0	30.0	33.0	32.0	35.0	31.0
ENST00000672755.1	35.0	23.0	13.0	28.0	46.0	18.0
ENST00000263697.6	35.0	30.0	19.0	29.0	32.0	21.0
ENST00000374500.10	35.0	40.0	26.0	34.0	33.0	26.0
ENST00000700613.1	35.0	32.0	27.0	33.0	34.0	32.0
ENST00000493317.1	35.0	31.0	31.0	30.0	30.0	36.0
ENST00000678921.2	35.0	31.0	22.0	32.0	33.0	24.0
ENST00000391753.6	35.0	27.0	27.0	26.0	44.0	12.0
ENST00000615167.4	35.0	27.0	28.0	31.0	42.0	16.0
ENST00000303904.8	35.0	29.0	24.0	29.0	37.0	23.0
ENST00000237500.10	35.0	31.0	29.0	33.0	33.0	33.0
ENST00000506237.5	35.0	34.0	20.0	34.0	33.0	28.0
ENST00000319788.11	35.0	30.0	26.0	33.0	40.0	17.0
ENST00000310144.11	35.0	31.0	25.0	32.0	39.0	27.0
ENST00000585392.2	35.0	57.0	35.0	60.0	44.0	42.0
ENST00000619920.4	35.0	28.0	21.0	29.0	37.0	19.0
ENST00000368547.4	35.0	29.0	25.0	31.0	36.0	23.0
ENST00000511787.1	35.0	49.0	38.0	52.0	34.0	38.0
ENST00000419349.3	35.0	29.0	22.0	30.0	36.0	19.0
ENST00000372661.6	35.0	31.0	17.0	33.0	37.0	24.0
ENST00000334678.8	35.0	14.0	15.0	14.0	41.0	4.0
ENST00000272102.10	35.0	22.0	14.0	21.0	37.0	5.0
ENST00000339399.5	34.0	25.0	31.0	33.0	33.0	12.0
ENST00000562879.5	34.0	47.0	44.0	45.0	36.0	34.0
ENST00000531653.5	34.0	34.0	33.0	32.0	44.0	33.0
ENST00000425778.5	34.0	25.0	19.0	29.0	39.0	21.0
ENST00000318364.13	34.0	32.0	21.0	34.0	39.0	25.0
ENST00000298852.8	34.0	28.0	22.0	29.0	36.0	19.0
ENST00000588802.5	34.0	33.0	30.0	32.0	35.0	32.0
ENST00000492758.1	34.0	33.0	31.0	30.0	32.0	31.0
ENST00000528260.1	34.0	37.0	42.0	68.0	52.0	47.0
ENST00000620047.5	34.0	44.0	23.0	43.0	33.0	31.0
ENST00000257857.9	34.0	30.0	26.0	28.0	31.0	22.0
ENST00000673210.1	34.0	22.0	13.0	28.0	43.0	20.0
ENST00000531435.6	34.0	34.0	46.0	28.0	30.0	36.0
ENST00000215829.8	34.0	34.0	24.0	35.0	33.0	30.0
ENST00000455918.2	34.0	40.0	38.0	36.0	29.0	32.0
ENST00000409716.6	34.0	31.0	30.0	35.0	38.0	36.0
ENST00000404674.7	34.0	26.0	31.0	38.0	42.0	22.0
ENST00000301072.11	34.0	28.0	14.0	27.0	32.0	15.0
ENST00000523674.2	34.0	30.0	29.0	26.0	26.0	28.0
ENST00000630540.2	34.0	42.0	47.0	47.0	35.0	42.0
ENST00000527791.5	34.0	42.0	47.0	47.0	35.0	42.0
ENST00000299299.4	34.0	29.0	29.0	28.0	32.0	25.0
ENST00000392204.6	34.0	31.0	24.0	32.0	39.0	19.0
ENST00000571955.5	34.0	23.0	13.0	27.0	45.0	18.0
ENST00000707641.1	34.0	31.0	29.0	35.0	37.0	36.0
ENST00000586592.5	34.0	31.0	22.0	29.0	29.0	23.0
ENST00000372079.1	34.0	52.0	20.0	47.0	39.0	27.0
ENST00000512493.5	34.0	33.0	38.0	35.0	36.0	33.0
ENST00000593729.5	34.0	33.0	37.0	37.0	42.0	44.0
ENST00000367889.8	34.0	36.0	33.0	30.0	29.0	35.0
ENST00000373365.5	34.0	27.0	14.0	29.0	28.0	17.0
ENST00000265462.9	34.0	35.0	40.0	31.0	36.0	27.0
ENST00000395837.1	34.0	42.0	31.0	45.0	41.0	39.0
ENST00000482684.5	34.0	35.0	31.0	33.0	34.0	30.0
ENST00000392558.4	34.0	36.0	40.0	33.0	31.0	38.0
ENST00000449935.6	34.0	37.0	20.0	39.0	30.0	24.0
ENST00000462538.5	34.0	28.0	26.0	31.0	43.0	29.0
ENST00000333511.9	34.0	23.0	23.0	23.0	33.0	8.0
ENST00000442995.4	34.0	33.0	26.0	35.0	36.0	31.0
ENST00000397133.2	34.0	29.0	26.0	37.0	41.0	13.0
ENST00000474928.5	34.0	29.0	24.0	28.0	36.0	23.0
ENST00000455959.7	34.0	33.0	32.0	30.0	31.0	30.0
ENST00000577035.5	34.0	38.0	28.0	35.0	36.0	35.0
ENST00000436661.6	33.0	35.0	18.0	36.0	35.0	28.0
ENST00000538831.3	33.0	38.0	10.0	28.0	36.0	37.0
ENST00000645521.1	33.0	35.0	24.0	34.0	38.0	29.0
ENST00000416016.2	33.0	23.0	13.0	28.0	45.0	18.0
ENST00000488122.2	33.0	50.0	40.0	44.0	33.0	37.0
ENST00000547986.5	33.0	33.0	26.0	55.0	65.0	60.0
ENST00000487182.5	33.0	32.0	18.0	40.0	40.0	28.0
ENST00000367048.5	33.0	28.0	14.0	28.0	32.0	16.0
ENST00000410044.5	33.0	31.0	26.0	33.0	35.0	31.0
ENST00000313511.8	33.0	24.0	21.0	23.0	34.0	9.0
ENST00000487350.5	33.0	30.0	27.0	28.0	33.0	25.0
ENST00000454092.1	33.0	28.0	34.0	33.0	27.0	43.0
ENST00000299300.11	33.0	26.0	17.0	25.0	28.0	15.0
ENST00000682325.1	33.0	33.0	19.0	32.0	30.0	22.0
ENST00000203407.6	33.0	27.0	22.0	25.0	32.0	16.0
ENST00000642748.1	33.0	33.0	32.0	29.0	30.0	27.0
ENST00000431388.3	33.0	9.0	6.0	12.0	21.0	5.0
ENST00000396828.8	33.0	35.0	24.0	33.0	38.0	29.0
ENST00000380636.1	33.0	31.0	60.0	30.0	35.0	49.0
ENST00000589115.6	33.0	21.0	18.0	20.0	36.0	9.0
ENST00000429182.6	33.0	31.0	33.0	27.0	26.0	24.0
ENST00000445125.2	33.0	26.0	34.0	25.0	25.0	18.0
ENST00000570382.2	33.0	28.0	21.0	32.0	28.0	16.0
ENST00000555914.5	33.0	32.0	27.0	25.0	24.0	22.0
ENST00000393820.2	33.0	32.0	23.0	32.0	35.0	24.0
ENST00000223336.11	33.0	37.0	28.0	34.0	34.0	31.0
ENST00000395839.5	33.0	42.0	31.0	44.0	39.0	38.0
ENST00000624481.4	33.0	29.0	26.0	32.0	38.0	21.0
ENST00000330459.8	33.0	28.0	11.0	25.0	28.0	11.0
ENST00000711158.1	33.0	29.0	26.0	32.0	38.0	21.0
ENST00000707471.1	33.0	28.0	21.0	33.0	28.0	16.0
ENST00000375549.8	33.0	30.0	22.0	27.0	29.0	23.0
ENST00000695999.1	33.0	33.0	33.0	26.0	31.0	29.0
ENST00000546954.2	33.0	29.0	14.0	26.0	32.0	15.0
ENST00000520382.5	33.0	34.0	31.0	35.0	35.0	37.0
ENST00000543465.5	33.0	21.0	22.0	22.0	26.0	15.0
ENST00000368809.1	33.0	41.0	34.0	34.0	30.0	34.0
ENST00000550645.5	33.0	34.0	37.0	31.0	32.0	32.0
ENST00000531405.5	33.0	25.0	22.0	32.0	44.0	12.0
ENST00000692065.1	33.0	29.0	25.0	31.0	36.0	28.0
ENST00000394440.8	33.0	28.0	18.0	27.0	28.0	12.0
ENST00000519239.5	33.0	30.0	26.0	36.0	34.0	32.0
ENST00000498737.8	33.0	32.0	26.0	35.0	37.0	31.0
ENST00000324913.10	33.0	30.0	29.0	36.0	38.0	30.0
ENST00000552292.5	33.0	51.0	44.0	46.0	36.0	39.0
ENST00000593152.6	33.0	31.0	22.0	29.0	28.0	22.0
ENST00000306869.7	33.0	21.0	16.0	23.0	31.0	8.0
ENST00000463901.1	33.0	54.0	41.0	52.0	32.0	34.0
ENST00000361531.6	33.0	31.0	33.0	30.0	34.0	28.0
ENST00000677778.1	33.0	25.0	30.0	33.0	32.0	37.0
ENST00000365304.1	33.0	24.0	32.0	27.0	20.0	63.0
ENST00000651476.1	32.0	31.0	26.0	31.0	33.0	31.0
ENST00000477733.1	32.0	52.0	39.0	52.0	35.0	34.0
ENST00000550952.6	32.0	33.0	28.0	33.0	34.0	32.0
ENST00000329819.4	32.0	28.0	22.0	32.0	34.0	18.0
ENST00000461925.1	32.0	53.0	39.0	53.0	35.0	37.0
ENST00000256442.10	32.0	30.0	16.0	24.0	27.0	16.0
ENST00000270812.6	32.0	28.0	28.0	28.0	42.0	14.0
ENST00000487970.1	32.0	52.0	41.0	50.0	35.0	35.0
ENST00000617986.1	32.0	29.0	28.0	29.0	45.0	22.0
ENST00000559780.6	32.0	30.0	23.0	29.0	34.0	25.0
ENST00000456057.5	32.0	31.0	18.0	36.0	36.0	26.0
ENST00000429772.7	32.0	28.0	27.0	26.0	28.0	24.0
ENST00000216252.4	32.0	23.0	15.0	25.0	32.0	11.0
ENST00000409617.6	32.0	31.0	24.0	33.0	34.0	29.0
ENST00000236051.3	32.0	26.0	14.0	27.0	38.0	16.0
ENST00000396060.7	32.0	28.0	20.0	32.0	34.0	25.0
ENST00000495186.6	32.0	28.0	24.0	34.0	32.0	25.0
ENST00000459084.1	32.0	12.0	6.0	0.0	7.0	2.0
ENST00000265643.4	32.0	11.0	7.0	16.0	23.0	7.0
ENST00000473257.3	32.0	32.0	15.0	32.0	34.0	21.0
ENST00000480507.1	32.0	26.0	22.0	25.0	34.0	23.0
ENST00000677021.1	32.0	31.0	29.0	30.0	30.0	31.0
ENST00000583751.1	32.0	30.0	39.0	42.0	48.0	34.0
ENST00000624234.3	32.0	34.0	33.0	29.0	28.0	26.0
ENST00000216714.8	32.0	28.0	22.0	24.0	29.0	18.0
ENST00000330964.10	32.0	30.0	20.0	30.0	34.0	26.0
ENST00000434290.6	32.0	29.0	29.0	34.0	31.0	27.0
ENST00000708794.1	32.0	28.0	22.0	24.0	29.0	17.0
ENST00000393868.7	31.0	27.0	24.0	25.0	28.0	23.0
ENST00000580320.5	31.0	19.0	15.0	21.0	29.0	8.0
ENST00000246337.9	31.0	29.0	23.0	29.0	31.0	28.0
ENST00000381209.8	31.0	28.0	32.0	30.0	31.0	34.0
ENST00000295901.9	31.0	25.0	16.0	31.0	37.0	19.0
ENST00000464182.5	31.0	53.0	48.0	48.0	35.0	38.0
ENST00000585124.6	31.0	34.0	26.0	24.0	26.0	23.0
ENST00000316199.10	31.0	34.0	26.0	24.0	26.0	23.0
