"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000116117"	18	18	22	15	4	7
"ENSG00000116120"	1457	1412	840	1446	1395	1010
"ENSG00000116127"	543	443	201	276	281	186
"ENSG00000116128"	733	570	486	475	397	242
"ENSG00000116132"	6	15	2	9	5	2
"ENSG00000116133"	2424	2735	733	1999	1903	739
"ENSG00000116138"	186	222	165	130	184	103
"ENSG00000116141"	400	444	194	322	237	211
"ENSG00000116151"	66	66	70	51	74	48
"ENSG00000116157"	5	0	0	0	0	0
"ENSG00000116161"	6286	6438	3367	4871	4978	3534
"ENSG00000116171"	3231	3488	1895	2805	2992	2643
"ENSG00000116176"	0	1	0	4	0	0
"ENSG00000116191"	104	106	53	40	98	101
"ENSG00000116194"	6	9	1	5	3	7
"ENSG00000116198"	499	357	232	261	309	102
"ENSG00000116199"	155	159	90	114	161	86
"ENSG00000116205"	337	327	298	326	334	404
"ENSG00000116209"	3104	3303	2769	2132	2440	2311
"ENSG00000116212"	816	809	591	500	605	344
"ENSG00000116213"	494	479	272	295	241	102
"ENSG00000116221"	3242	3370	2652	2937	3102	2036
"ENSG00000116237"	488	565	287	391	561	279
"ENSG00000116251"	72671	90560	67954	62871	71793	77103
"ENSG00000116254"	0	3	0	3	0	0
"ENSG00000116260"	202	222	209	236	255	137
"ENSG00000116266"	539	558	316	378	374	304
"ENSG00000116273"	63	68	48	52	63	37
"ENSG00000116285"	88	74	62	44	32	34
"ENSG00000116288"	13533	15923	8790	11785	12887	10783
"ENSG00000116299"	3	2	28	0	1	0
"ENSG00000116329"	11	9	19	18	15	5
"ENSG00000116337"	651	748	563	662	453	500
"ENSG00000116350"	1357	1150	954	1117	1062	632
"ENSG00000116353"	1086	989	1111	1318	1129	1068
"ENSG00000116396"	273	260	168	171	156	95
"ENSG00000116406"	401	406	345	155	197	167
"ENSG00000116455"	1813	1649	628	1666	1232	451
"ENSG00000116459"	9408	10920	7455	7934	8912	8579
"ENSG00000116473"	1910	1995	1234	1284	1414	1000
"ENSG00000116478"	3188	3336	1928	2364	2540	1802
"ENSG00000116489"	2035	2134	1298	1215	1514	1195
"ENSG00000116497"	384	412	385	229	282	306
"ENSG00000116514"	118	181	88	113	78	121
"ENSG00000116521"	1650	1560	923	1726	1351	936
"ENSG00000116525"	46	29	10	13	27	8
"ENSG00000116539"	901	710	550	396	515	204
"ENSG00000116544"	0	0	2	1	0	0
"ENSG00000116560"	4375	5740	2653	2869	4190	2835
"ENSG00000116574"	60	72	91	36	52	50
"ENSG00000116580"	1136	878	964	734	852	645
"ENSG00000116584"	453	422	1074	164	171	406
"ENSG00000116586"	3151	4315	3550	2788	3006	3596
"ENSG00000116604"	171	156	137	124	65	82
"ENSG00000116641"	604	751	417	444	431	495
"ENSG00000116649"	516	561	279	641	597	253
"ENSG00000116661"	4	4	0	2	3	2
"ENSG00000116663"	64	76	64	67	76	67
"ENSG00000116667"	570	626	540	372	374	336
"ENSG00000116668"	59	39	59	24	42	41
"ENSG00000116670"	3798	4239	3420	3513	3647	2270
"ENSG00000116675"	130	128	39	65	67	54
"ENSG00000116678"	281	291	279	130	196	151
"ENSG00000116679"	1061	991	721	651	781	430
"ENSG00000116685"	134	150	81	131	118	53
"ENSG00000116688"	2319	1532	980	1888	1763	709
"ENSG00000116690"	48	128	128	92	116	127
"ENSG00000116691"	319	187	152	284	160	55
"ENSG00000116698"	1521	1176	1059	1093	893	714
"ENSG00000116701"	7	2	2	12	0	1
"ENSG00000116703"	1	0	0	0	0	0
"ENSG00000116704"	71	49	41	41	37	23
"ENSG00000116711"	96	81	54	50	37	14
"ENSG00000116717"	316	310	255	309	336	248
"ENSG00000116721"	0	0	0	1	0	0
"ENSG00000116726"	4	0	0	3	5	0
"ENSG00000116729"	841	763	676	556	546	592
"ENSG00000116731"	407	217	283	173	189	231
"ENSG00000116741"	166	192	101	127	156	150
"ENSG00000116745"	0	0	0	1	0	0
"ENSG00000116747"	751	592	408	505	541	387
"ENSG00000116750"	2271	2107	1369	1648	1825	1298
"ENSG00000116752"	2178	2289	1353	1960	2056	1844
"ENSG00000116754"	2848	3498	2067	1674	1964	1422
"ENSG00000116761"	214	320	1062	163	166	492
"ENSG00000116771"	5	5	10	4	8	4
"ENSG00000116774"	8	1	2	0	8	0
"ENSG00000116785"	23	45	56	48	37	69
"ENSG00000116786"	107	101	96	126	132	73
"ENSG00000116791"	1250	1196	687	765	714	673
"ENSG00000116793"	387	295	258	167	192	150
"ENSG00000116809"	48	84	28	55	50	42
"ENSG00000116815"	378	312	278	359	349	296
"ENSG00000116819"	17	9	15	6	3	8
"ENSG00000116824"	0	1	0	0	0	0
"ENSG00000116830"	393	311	175	277	320	145
"ENSG00000116833"	8	6	23	9	9	5
"ENSG00000116852"	7	29	38	10	0	15
"ENSG00000116857"	4950	5099	4453	4639	4827	4115
"ENSG00000116863"	478	526	404	414	408	235
"ENSG00000116871"	548	731	509	686	826	672
"ENSG00000116874"	880	969	730	611	739	527
"ENSG00000116882"	0	0	0	1	3	0
"ENSG00000116885"	230	257	419	240	257	407
"ENSG00000116898"	3457	3691	2340	3557	3105	2758
"ENSG00000116903"	68	73	38	40	67	48
"ENSG00000116906"	1119	1028	688	731	724	463
"ENSG00000116918"	1026	1075	541	713	758	714
"ENSG00000116922"	1068	1039	588	659	754	418
"ENSG00000116954"	80	72	56	103	79	53
"ENSG00000116962"	375	284	299	186	210	231
"ENSG00000116977"	488	511	330	336	476	278
"ENSG00000116981"	11	7	7	10	14	5
"ENSG00000116983"	24	23	11	22	21	5
"ENSG00000116984"	939	1099	685	810	836	638
"ENSG00000116985"	34	44	35	26	23	19
"ENSG00000116990"	58	86	74	57	69	57
"ENSG00000116991"	234	352	313	191	99	104
"ENSG00000117000"	121	114	59	54	77	43
"ENSG00000117009"	5	6	10	2	6	5
"ENSG00000117010"	252	297	156	367	363	329
"ENSG00000117013"	37	14	19	20	16	24
"ENSG00000117016"	18	25	35	19	8	7
"ENSG00000117020"	386	577	452	210	192	255
"ENSG00000117036"	41	63	27	71	66	57
"ENSG00000117054"	4005	4327	2309	3043	3104	2445
"ENSG00000117069"	15	9	24	9	33	39
"ENSG00000117090"	1	0	0	0	0	0
"ENSG00000117091"	0	0	0	0	1	0
"ENSG00000117114"	863	1031	736	536	686	590
"ENSG00000117115"	2	11	9	13	15	10
"ENSG00000117118"	5779	6188	4205	4772	4983	3592
"ENSG00000117122"	396	262	272	508	236	123
"ENSG00000117133"	1347	1347	792	1139	1122	959
"ENSG00000117139"	766	693	706	274	290	319
"ENSG00000117143"	1442	1222	644	769	908	386
"ENSG00000117148"	13	4	0	3	5	8
"ENSG00000117151"	196	142	147	113	167	163
"ENSG00000117152"	10	8	4	19	37	22
"ENSG00000117153"	192	243	243	202	178	169
"ENSG00000117155"	341	279	189	235	256	177
"ENSG00000117174"	406	343	279	225	261	133
"ENSG00000117215"	0	1	0	1	0	0
"ENSG00000117222"	299	285	194	142	142	68
"ENSG00000117226"	0	1	0	6	3	0
"ENSG00000117228"	21	25	24	20	20	58
"ENSG00000117245"	55	101	126	83	46	43
"ENSG00000117262"	1105	1094	589	989	1012	542
"ENSG00000117266"	32	16	81	23	25	23
"ENSG00000117280"	134	113	81	82	75	63
"ENSG00000117281"	13	1	17	1	8	0
"ENSG00000117298"	263	161	135	162	132	99
"ENSG00000117305"	246	336	569	245	271	415
"ENSG00000117308"	448	482	405	441	451	215
"ENSG00000117318"	2687	3221	2053	2706	2348	1330
"ENSG00000117322"	32	14	5	1	4	2
"ENSG00000117335"	3173	3017	1353	1473	1942	1090
"ENSG00000117360"	1096	1261	671	517	536	272
"ENSG00000117362"	2732	2791	2123	2556	2396	1756
"ENSG00000117385"	728	509	349	353	392	321
"ENSG00000117394"	396	423	226	518	530	316
"ENSG00000117395"	3763	3788	1583	3774	3163	1994
"ENSG00000117399"	3573	3033	1650	2687	2072	1042
"ENSG00000117400"	1	1	1	1	2	1
"ENSG00000117407"	6	0	4	0	0	6
"ENSG00000117408"	194	160	111	129	105	60
"ENSG00000117410"	11613	11881	5440	9167	9417	5947
"ENSG00000117411"	1104	1335	874	1153	1223	531
"ENSG00000117419"	5698	5883	3769	5640	5829	3896
"ENSG00000117425"	17	33	36	14	14	12
"ENSG00000117448"	6262	6308	5183	4786	5222	4065
"ENSG00000117450"	106639	127083	46167	87633	98216	73978
"ENSG00000117461"	562	654	465	281	243	187
"ENSG00000117472"	1	0	7	2	2	20
"ENSG00000117475"	349	250	146	107	133	122
"ENSG00000117477"	899	683	466	601	635	595
"ENSG00000117479"	172	179	154	86	109	66
"ENSG00000117480"	11	38	29	13	12	7
"ENSG00000117481"	626	573	593	413	308	315
"ENSG00000117500"	3086	3055	2106	1648	1789	1535
"ENSG00000117501"	44	9	2	9	1	2
"ENSG00000117505"	874	766	674	519	540	381
"ENSG00000117507"	1	0	1	0	0	0
"ENSG00000117519"	2201	2129	1560	1302	1694	910
"ENSG00000117523"	5034	4413	3889	3688	3877	3057
"ENSG00000117525"	20	2	10	14	23	5
"ENSG00000117528"	946	811	368	747	739	467
"ENSG00000117533"	264	317	296	220	191	267
"ENSG00000117543"	2823	3539	3849	1339	1549	1874
"ENSG00000117569"	1141	1008	608	738	1026	1063
"ENSG00000117586"	4	6	15	0	6	0
"ENSG00000117592"	9684	11190	6222	7734	8690	7123
"ENSG00000117593"	1048	1043	800	538	810	579
"ENSG00000117595"	4	14	20	0	0	12
"ENSG00000117597"	394	328	193	179	168	137
"ENSG00000117598"	0	3	0	0	0	8
"ENSG00000117600"	0	0	0	0	0	6
"ENSG00000117601"	0	0	0	0	0	1
"ENSG00000117602"	110	117	76	164	127	128
"ENSG00000117614"	895	801	529	725	615	561
"ENSG00000117616"	492	683	329	173	232	99
"ENSG00000117620"	586	569	527	411	605	405
"ENSG00000117625"	328	180	276	199	214	232
"ENSG00000117632"	16014	17390	12568	12306	14236	14096
"ENSG00000117640"	1026	1070	805	715	936	734
"ENSG00000117643"	38	14	46	10	37	6
"ENSG00000117650"	371	405	194	249	271	199
"ENSG00000117676"	193	249	133	180	182	103
"ENSG00000117682"	897	677	541	976	724	596
"ENSG00000117691"	376	610	348	348	740	406
"ENSG00000117697"	1077	1047	862	587	640	705
"ENSG00000117707"	15	18	17	5	2	12
"ENSG00000117713"	1425	904	1294	932	646	514
"ENSG00000117724"	791	1002	532	368	635	431
"ENSG00000117748"	3002	3214	2031	2920	2880	2073
"ENSG00000117751"	1420	1270	772	1192	1331	915
"ENSG00000117758"	448	355	329	320	321	230
"ENSG00000117791"	65	41	82	42	56	32
"ENSG00000117834"	1	0	0	1	0	0
"ENSG00000117859"	2106	2173	1789	1803	2059	1949
"ENSG00000117862"	2311	2514	1454	2003	1956	1270
"ENSG00000117868"	473	445	337	368	366	251
"ENSG00000117877"	374	251	151	273	179	70
"ENSG00000117899"	1823	1913	1350	1320	1353	1126
"ENSG00000117906"	452	559	361	266	476	364
"ENSG00000117971"	15	10	20	28	24	30
"ENSG00000117983"	0	0	4	4	1	2
"ENSG00000117984"	1871	1519	1076	2467	1219	787
"ENSG00000118004"	18	12	27	21	21	0
"ENSG00000118007"	696	658	571	576	628	575
"ENSG00000118017"	0	0	0	1	0	0
"ENSG00000118046"	265	210	111	169	168	125
"ENSG00000118058"	2467	1613	2138	1142	988	1190
"ENSG00000118094"	4	17	12	4	16	12
"ENSG00000118096"	638	820	961	434	413	409
"ENSG00000118137"	140	105	230	84	205	168
"ENSG00000118156"	3	2	13	6	5	10
"ENSG00000118160"	3	1	1	0	0	0
"ENSG00000118162"	177	147	91	148	133	89
"ENSG00000118181"	182958	226824	194772	154255	179923	209647
"ENSG00000118193"	139	142	74	66	79	73
"ENSG00000118194"	0	0	0	12	0	11
"ENSG00000118197"	152	163	104	81	187	93
"ENSG00000118200"	218	222	180	121	148	104
"ENSG00000118217"	2008	1655	1253	1160	1368	1166
"ENSG00000118231"	627	669	679	700	652	639
"ENSG00000118242"	93	63	62	69	58	48
"ENSG00000118246"	788	671	457	557	576	317
"ENSG00000118257"	246	215	149	125	137	99
"ENSG00000118260"	417	415	310	217	229	139
"ENSG00000118263"	6	2	8	3	1	7
"ENSG00000118271"	0	0	0	1	0	0
"ENSG00000118276"	25	28	28	17	19	16
"ENSG00000118292"	367	388	506	291	290	440
"ENSG00000118298"	4	4	6	3	6	12
"ENSG00000118307"	11	0	11	4	9	4
"ENSG00000118308"	7	0	0	0	0	0
"ENSG00000118322"	68	45	55	30	38	17
"ENSG00000118363"	4052	4628	3118	3759	4228	2531
"ENSG00000118369"	13	12	0	2	1	0
"ENSG00000118402"	175	144	110	73	80	59
"ENSG00000118407"	17	36	60	19	27	58
"ENSG00000118412"	321	245	225	78	162	107
"ENSG00000118418"	30800	31507	17964	26374	27801	24628
"ENSG00000118420"	709	856	523	466	546	409
"ENSG00000118432"	0	0	2	0	0	0
"ENSG00000118454"	222	211	119	204	160	82
"ENSG00000118482"	750	779	540	463	530	405
"ENSG00000118492"	17	15	10	14	9	1
"ENSG00000118495"	270	298	205	152	182	129
"ENSG00000118496"	128	94	89	74	62	31
"ENSG00000118503"	44	66	15	30	7	21
"ENSG00000118507"	78	38	147	66	99	85
"ENSG00000118508"	252	183	229	238	223	86
"ENSG00000118513"	55	41	66	32	18	14
"ENSG00000118514"	4	4	0	1	0	4
"ENSG00000118515"	73	48	42	37	46	40
"ENSG00000118518"	446	411	357	152	102	162
"ENSG00000118520"	3	0	1	6	8	1
"ENSG00000118523"	15	32	15	12	23	8
"ENSG00000118526"	0	2	1	0	0	2
"ENSG00000118557"	15	9	10	18	4	3
"ENSG00000118564"	1616	1588	1513	1208	1192	1084
"ENSG00000118579"	2537	2321	1533	1710	1907	1489
"ENSG00000118596"	340	279	277	233	231	197
"ENSG00000118600"	998	634	637	720	630	275
"ENSG00000118620"	130	111	85	124	121	126
"ENSG00000118640"	691	583	618	619	425	641
"ENSG00000118655"	435	513	391	300	373	243
"ENSG00000118680"	3793	4262	3085	2943	3588	3700
"ENSG00000118689"	333	448	336	232	363	274
"ENSG00000118690"	123	113	94	71	88	72
"ENSG00000118705"	4302	4302	3300	3391	3613	2979
"ENSG00000118707"	367	437	331	302	366	185
"ENSG00000118729"	0	6	4	2	0	1
"ENSG00000118762"	71	43	34	60	39	17
"ENSG00000118777"	57	55	30	28	40	16
"ENSG00000118785"	6	28	33	78	47	46
"ENSG00000118804"	51	47	37	36	34	22
"ENSG00000118816"	489	641	570	311	491	385
"ENSG00000118849"	14	4	4	1	1	0
"ENSG00000118855"	792	856	431	553	693	317
"ENSG00000118873"	387	471	241	204	230	265
"ENSG00000118894"	1295	1217	1219	1414	1393	941
"ENSG00000118898"	7	2	0	7	0	4
"ENSG00000118900"	188	138	113	153	129	41
"ENSG00000118922"	104	111	131	62	59	49
"ENSG00000118939"	2441	2372	1830	2369	2418	2033
"ENSG00000118946"	8	15	10	5	16	8
"ENSG00000118960"	197	161	202	206	156	110
"ENSG00000118961"	553	595	433	278	250	182
"ENSG00000118965"	187	228	172	123	212	165
"ENSG00000118971"	1263	1439	1143	745	956	1021
"ENSG00000118972"	0	0	1	0	0	0
"ENSG00000118976"	0	2	2	3	0	0
"ENSG00000118985"	92	58	54	38	53	51
"ENSG00000118997"	13	10	11	7	3	7
"ENSG00000119004"	347	385	606	323	512	518
"ENSG00000119013"	26493	31292	14707	20661	24410	18223
"ENSG00000119041"	911	812	549	727	705	479
"ENSG00000119042"	656	647	582	425	411	386
"ENSG00000119048"	845	836	576	754	690	609
"ENSG00000119121"	8	12	8	7	4	7
"ENSG00000119125"	2	0	1	1	0	0
"ENSG00000119138"	56	83	50	51	46	49
"ENSG00000119139"	245	284	213	143	197	211
"ENSG00000119147"	2	0	0	2	0	3
"ENSG00000119185"	1976	1755	1223	1778	1976	1171
"ENSG00000119203"	1215	1206	762	931	1058	794
"ENSG00000119227"	5	0	9	7	0	2
"ENSG00000119231"	238	226	189	143	137	84
"ENSG00000119242"	64	25	50	56	41	35
"ENSG00000119280"	261	294	193	300	249	224
"ENSG00000119283"	4	1	1	1	0	4
"ENSG00000119285"	838	816	444	426	584	332
"ENSG00000119314"	1136	1091	718	690	958	681
"ENSG00000119318"	1712	1874	1115	1358	1828	1387
"ENSG00000119321"	1378	1313	1082	632	563	591
"ENSG00000119326"	1298	1265	867	961	1244	760
"ENSG00000119328"	299	276	278	238	222	228
"ENSG00000119333"	303	164	142	259	125	46
"ENSG00000119335"	13969	18939	9091	10725	13695	10722
"ENSG00000119383"	1888	2040	1084	1458	1667	1224
"ENSG00000119392"	1055	820	853	598	812	421
"ENSG00000119396"	2751	3204	2164	1835	1726	1592
"ENSG00000119397"	360	359	406	248	197	204
"ENSG00000119401"	386	280	271	157	165	102
"ENSG00000119402"	1265	1475	1112	904	1123	802
"ENSG00000119403"	574	593	388	610	460	320
"ENSG00000119408"	484	380	242	443	556	408
"ENSG00000119411"	5	0	17	5	8	10
"ENSG00000119414"	2037	2390	1738	1560	1884	1653
"ENSG00000119421"	2982	2749	1845	2373	2141	1567
"ENSG00000119431"	383	409	306	313	286	169
"ENSG00000119446"	545	629	508	369	428	359
"ENSG00000119471"	1008	981	654	481	729	632
"ENSG00000119487"	682	770	514	544	602	447
"ENSG00000119508"	36	33	14	10	0	9
"ENSG00000119509"	131	85	103	116	105	30
"ENSG00000119514"	5	7	7	3	5	17
"ENSG00000119522"	179	135	169	132	161	141
"ENSG00000119523"	228	239	156	133	185	74
"ENSG00000119535"	0	2	0	1	0	0
"ENSG00000119537"	194	86	69	110	112	93
"ENSG00000119541"	323	370	278	272	402	306
"ENSG00000119547"	34	29	36	8	9	2
"ENSG00000119559"	1384	804	911	1294	808	251
"ENSG00000119574"	33	26	14	41	29	19
"ENSG00000119596"	581	456	446	391	395	232
"ENSG00000119599"	258	200	152	300	187	126
"ENSG00000119608"	0	0	1	0	1	0
"ENSG00000119616"	677	587	407	502	525	418
"ENSG00000119630"	162	118	103	76	33	31
"ENSG00000119632"	163	112	74	128	106	118
"ENSG00000119636"	41	26	24	26	25	36
"ENSG00000119638"	493	681	673	476	638	511
"ENSG00000119640"	2754	3336	2331	1906	2016	1627
"ENSG00000119650"	927	1022	1260	769	668	985
"ENSG00000119655"	2972	3864	2786	2645	3413	3010
"ENSG00000119661"	371	426	388	273	314	366
"ENSG00000119669"	86	103	84	58	75	80
"ENSG00000119673"	496	483	691	333	358	410
"ENSG00000119681"	13	9	8	1	10	12
"ENSG00000119682"	831	618	355	595	617	328
"ENSG00000119684"	64	37	30	28	22	22
"ENSG00000119685"	384	332	268	255	217	186
"ENSG00000119686"	7	8	6	8	6	2
"ENSG00000119688"	357	331	287	308	311	352
"ENSG00000119689"	204	150	115	135	133	112
"ENSG00000119698"	6	1	5	8	2	4
"ENSG00000119699"	81	50	44	62	71	36
"ENSG00000119703"	14	9	39	3	6	8
"ENSG00000119705"	83665	97646	48645	75390	86946	75006
"ENSG00000119707"	1448	1207	699	1020	1113	523
"ENSG00000119711"	72	52	82	52	38	69
"ENSG00000119714"	12	0	0	3	0	0
"ENSG00000119715"	24	24	43	10	2	11
"ENSG00000119718"	744	583	475	556	488	264
"ENSG00000119720"	354	447	248	414	500	307
"ENSG00000119723"	525	540	352	482	341	407
"ENSG00000119725"	947	1130	683	772	832	635
"ENSG00000119729"	192	228	196	149	154	190
"ENSG00000119737"	10	5	1	5	4	1
"ENSG00000119760"	1153	1283	1018	846	1100	897
"ENSG00000119771"	59	80	61	43	85	34
"ENSG00000119772"	128	104	59	86	89	141
"ENSG00000119777"	1289	1085	860	795	865	617
"ENSG00000119778"	80	45	47	48	26	19
"ENSG00000119782"	407	306	364	318	362	288
"ENSG00000119787"	333	273	183	217	197	145
"ENSG00000119801"	345	470	765	403	428	649
"ENSG00000119812"	1104	826	593	721	733	378
"ENSG00000119820"	9460	7068	6286	8334	7621	8594
"ENSG00000119844"	256	213	168	150	108	111
"ENSG00000119862"	243	228	151	260	294	244
"ENSG00000119865"	78	51	106	78	71	65
"ENSG00000119866"	473	435	497	261	245	327
"ENSG00000119878"	1425	1477	802	858	975	869
"ENSG00000119888"	4	12	0	7	10	2
"ENSG00000119899"	163	155	110	122	148	126
"ENSG00000119900"	183	157	194	130	176	153
"ENSG00000119906"	343	228	242	147	131	88
"ENSG00000119912"	1392	1062	581	637	720	381
"ENSG00000119917"	9	14	1	14	59	32
"ENSG00000119919"	1	0	2	0	0	4
"ENSG00000119922"	19	8	28	5	19	11
"ENSG00000119927"	117	99	72	73	75	50
"ENSG00000119929"	771	694	548	886	897	750
"ENSG00000119938"	0	0	1	0	0	0
"ENSG00000119943"	18	15	16	13	21	9
"ENSG00000119946"	164	106	158	141	100	102
"ENSG00000119950"	518	727	483	466	455	522
"ENSG00000119953"	952	951	521	585	786	379
"ENSG00000119965"	201	238	139	144	141	110
"ENSG00000119969"	842	868	543	391	468	378
"ENSG00000119977"	2644	2431	1613	1803	1847	1190
"ENSG00000119979"	1344	1229	1400	1311	1452	1363
"ENSG00000119986"	96	71	81	67	59	19
"ENSG00000120008"	371	379	255	242	388	256
"ENSG00000120029"	128	123	53	126	122	116
"ENSG00000120049"	53	38	66	32	42	33
"ENSG00000120051"	2	3	6	0	1	0
"ENSG00000120053"	650	719	570	482	533	543
"ENSG00000120055"	193	156	197	136	143	106
"ENSG00000120063"	181	152	103	76	91	69
"ENSG00000120068"	18	20	24	16	26	25
"ENSG00000120071"	441	452	330	183	288	184
"ENSG00000120075"	14	17	18	6	11	9
"ENSG00000120088"	0	0	3	0	0	0
"ENSG00000120093"	132	94	163	84	63	126
"ENSG00000120129"	26	41	45	20	26	20
"ENSG00000120137"	224	172	113	91	120	81
"ENSG00000120149"	166	194	185	89	120	59
"ENSG00000120156"	2	1	1	0	0	0
"ENSG00000120158"	373	500	398	488	587	293
"ENSG00000120159"	262	225	167	134	172	100
"ENSG00000120160"	1	0	1	2	0	0
"ENSG00000120162"	41	42	45	29	19	21
"ENSG00000120210"	8	8	22	10	14	15
"ENSG00000120211"	2	0	1	0	1	0
"ENSG00000120215"	5	1	0	12	1	1
"ENSG00000120217"	3	9	0	0	1	0
"ENSG00000120253"	1020	988	909	484	611	503
"ENSG00000120254"	685	914	988	587	746	754
"ENSG00000120256"	122	129	114	57	65	55
"ENSG00000120262"	4	2	1	2	1	1
"ENSG00000120265"	10652	11314	7213	8471	9005	7705
"ENSG00000120278"	80	49	117	34	57	44
"ENSG00000120280"	0	0	0	1	0	0
"ENSG00000120306"	2319	2307	2151	1875	2037	2289
"ENSG00000120314"	296	223	190	256	268	124
"ENSG00000120318"	26	14	8	8	8	9
"ENSG00000120322"	2	0	1	0	0	1
"ENSG00000120327"	0	1	0	0	0	0
"ENSG00000120328"	1	0	1	0	0	1
"ENSG00000120333"	4670	5296	3299	3254	4014	3404
"ENSG00000120334"	386	328	233	303	347	242
"ENSG00000120341"	8	9	3	2	1	5
"ENSG00000120370"	504	493	475	218	145	120
"ENSG00000120437"	3900	4024	1672	3206	3329	1964
"ENSG00000120438"	10314	10664	5207	7125	8893	4341
"ENSG00000120440"	3	7	0	9	6	12
"ENSG00000120451"	172	120	132	83	69	70
"ENSG00000120457"	0	0	9	0	0	0
"ENSG00000120458"	176	129	93	98	49	76
"ENSG00000120471"	2	0	0	2	0	0
"ENSG00000120498"	0	8	36	0	0	20
"ENSG00000120500"	4	1	1	0	0	8
"ENSG00000120509"	2269	2693	2202	2037	2020	2221
"ENSG00000120519"	133	132	109	57	96	88
"ENSG00000120526"	1187	1157	531	689	800	484
"ENSG00000120533"	12803	15394	8139	12347	13317	11289
"ENSG00000120539"	503	554	393	359	295	204
"ENSG00000120549"	59	86	82	39	7	85
"ENSG00000120555"	170	68	121	136	108	79
"ENSG00000120594"	7	5	4	5	1	5
"ENSG00000120616"	249	240	324	214	256	282
"ENSG00000120645"	0	0	0	4	0	0
"ENSG00000120647"	423	557	308	222	250	116
"ENSG00000120656"	2258	2111	2300	1674	1655	1822
"ENSG00000120658"	53	53	40	17	21	27
"ENSG00000120662"	148	127	125	69	104	99
"ENSG00000120669"	2	3	10	1	3	2
"ENSG00000120675"	14	10	9	4	10	18
"ENSG00000120685"	491	447	432	308	222	246
"ENSG00000120686"	1447	1427	772	1108	1051	695
"ENSG00000120688"	200	222	102	87	86	76
"ENSG00000120690"	194	197	137	79	166	152
"ENSG00000120693"	104	83	79	57	59	68
"ENSG00000120694"	1367	1755	469	656	785	432
"ENSG00000120696"	21	43	15	16	18	16
"ENSG00000120697"	1857	1873	1483	1716	1976	1690
"ENSG00000120699"	6721	7399	8773	4865	6152	7915
"ENSG00000120705"	2577	2548	1941	2140	2155	1705
"ENSG00000120708"	0	0	0	0	0	1
"ENSG00000120709"	251	261	204	196	202	155
"ENSG00000120725"	412	304	549	389	302	220
"ENSG00000120727"	3064	2944	1398	2110	2385	1870
"ENSG00000120729"	183	325	321	160	174	168
"ENSG00000120733"	350	300	249	126	206	159
"ENSG00000120738"	5	4	5	11	8	4
"ENSG00000120742"	1857	1312	1178	1013	1019	527
"ENSG00000120756"	448	364	230	241	235	115
"ENSG00000120784"	209	95	99	78	147	103
"ENSG00000120798"	487	509	345	164	296	184
"ENSG00000120800"	175	147	47	103	93	61
"ENSG00000120802"	945	996	639	592	762	545
"ENSG00000120805"	1494	1393	786	1181	1139	845
"ENSG00000120820"	166	222	208	146	174	209
"ENSG00000120832"	543	455	310	333	337	236
"ENSG00000120833"	137	120	143	140	85	132
"ENSG00000120837"	660	956	513	308	366	330
"ENSG00000120860"	2041	1698	1620	1525	1539	1228
"ENSG00000120868"	339	347	169	83	115	157
"ENSG00000120875"	37	40	33	16	26	8
"ENSG00000120885"	5771	5109	3775	4322	3610	3470
"ENSG00000120889"	1105	860	624	732	804	405
"ENSG00000120896"	498	269	342	684	285	167
"ENSG00000120899"	32	9	17	7	18	61
"ENSG00000120903"	1	0	0	0	0	0
"ENSG00000120907"	0	0	1	0	0	0
"ENSG00000120910"	192	165	149	144	165	111
"ENSG00000120913"	2158	1906	1745	2076	1502	1176
"ENSG00000120915"	8	28	15	11	7	10
"ENSG00000120925"	201	301	416	211	151	208
"ENSG00000120937"	0	0	0	1	0	0
"ENSG00000120942"	468	350	307	408	396	211
"ENSG00000120948"	2546	2755	967	1508	1820	939
"ENSG00000120949"	3	0	0	0	3	0
"ENSG00000120963"	3270	3592	2936	2341	2656	2133
"ENSG00000120992"	1833	1751	1068	1306	1608	1055
"ENSG00000121005"	97	69	72	122	114	86
"ENSG00000121022"	2577	2894	1645	1709	1897	1584
"ENSG00000121039"	99	86	52	48	52	52
"ENSG00000121053"	5	0	2	4	5	4
"ENSG00000121057"	474	475	265	393	447	203
"ENSG00000121058"	494	406	188	327	332	132
"ENSG00000121060"	100	70	67	61	70	50
"ENSG00000121064"	708	808	624	656	690	560
"ENSG00000121067"	2223	2078	1314	794	864	732
"ENSG00000121068"	68	35	47	37	38	28
"ENSG00000121073"	2703	2669	2177	2656	2565	1999
"ENSG00000121075"	0	0	0	0	0	1
"ENSG00000121089"	0	0	0	0	1	0
"ENSG00000121101"	60	40	75	47	37	18
"ENSG00000121104"	52	75	48	43	56	27
"ENSG00000121152"	760	758	446	420	573	360
"ENSG00000121207"	14	24	4	8	9	9
"ENSG00000121210"	378	267	335	219	175	135
"ENSG00000121211"	1028	1090	1229	734	973	1063
"ENSG00000121236"	157	142	88	53	102	113
"ENSG00000121270"	23	8	10	6	3	3
"ENSG00000121274"	146	161	98	61	130	52
"ENSG00000121281"	56	43	55	52	75	54
"ENSG00000121289"	386	298	291	391	264	271
"ENSG00000121297"	31	33	62	25	22	33
"ENSG00000121310"	287	225	295	310	182	171
